dataset	tool	F1	Precision	Recall	Bray-Curtis	True Positives	False Positives	False Negatives
Non-human	MetaPhlAn v3.0	0.9561209577536117	0.9173770989362214	1	0.12465496384126432	57.5	6.5	0
Non-human	MetaPhlAn2 v2.7	0.5309145280635257	0.5731809918262638	0.516782735397257	0.49814125246191243	20.2	18.8	37.3
Non-human	mOTUs251_precision	0.6811746822147643	0.8984032661723325	0.5512936850738802	0.47377938318465995	34.3	3.4	23.2
Non-human	mOTUs251_recall	0.574866258724537	0.44380483104082663	0.8842095344110021	0.35107907826462176	48.4	50.9	9.1
Non-human	Bracken_208_25_refseq	0.015559326913473932	0.007927678262023416	0.606602422977403	0.49261680219703885	25.3	3072.5	32.2
