tool	Airways	Gastrointestinal tract	Oral	Skin	Urogenital tract	Mouse gut
MetaPhlAn v3.0 stat_q 0.2	0.9899226137155297	0.9352807596613586	0.988940949576599	0.9945159297220115	0.9443237894421526	0.7252687605463466
MetaPhlAn2 v2.7	0.9759539009536984	0.8478360727060081	0.9388036611358995	0.9900972581284034	0.8283086888693821	0.6279195795217746
mOTUs251_precision	0.676162230213193	0.6151902019652198	0.9331341184917943	0.9905260311718068	0.8683454902140542	0.601982989582098
mOTUs251_recall	0.815978828341769	0.8105117208789809	0.9707060134619364	0.9947937529720964	0.9298046866898472	0.705151042022081
Bracken_208_25_refseq	0.9857593875317276	0.9753845664268859	0.9895806246191949	0.9966463379660451	0.9729763120518601	0.4347049530259078
