TP	FP	FN	Precision	Recall	F1	sample	tool	BC	dataset
15	9	4	0.625	0.7894736842105263	0.6976744186046512	largepan_03	MetaPhlAn2 v2.7	0.34346294893395907	Non-human
11	0	8	1	0.5789473684210527	0.7333333333333334	largepan_03	mOTUs251_precision	0.47764506580427796	Non-human
18	30	1	0.375	0.9473684210526315	0.537313432835821	largepan_03	mOTUs251_recall	0.2976486845062706	Non-human
16	2529	3	0.006286836935166994	0.8421052631578947	0.012480499219968797	largepan_03	Bracken_208_25_refseq	0.3333949514244049	Non-human
20	0	0	1	1	1	largepan_02	MetaPhlAn v3.0	0.21199673940016303	Non-human
14	6	6	0.7	0.7	0.7	largepan_02	MetaPhlAn2 v2.7	0.3371850573148073	Non-human
9	2	11	0.8181818181818182	0.45	0.5806451612903226	largepan_02	mOTUs251_precision	0.5722208018555566	Non-human
17	57	3	0.22972972972972974	0.85	0.3617021276595745	largepan_02	mOTUs251_recall	0.42834723245521317	Non-human
16	2572	4	0.0061823802163833074	0.8	0.012269938650306749	largepan_02	Bracken_208_25_refseq	0.35865587279654354	Non-human
18	3	0	0.8571428571428571	1	0.923076923076923	largepan_01	MetaPhlAn v3.0	0.17657627245138274	Non-human
16	7	2	0.6956521739130435	0.8888888888888888	0.7804878048780488	largepan_01	MetaPhlAn2 v2.7	0.32165907600751403	Non-human
7	3	11	0.7	0.3888888888888889	0.5	largepan_01	mOTUs251_precision	0.6315789473684211	Non-human
17	45	1	0.27419354838709675	0.9444444444444444	0.425	largepan_01	mOTUs251_recall	0.44012488173832	Non-human
17	2812	1	0.006009190526687876	0.9444444444444444	0.01194239550403934	largepan_01	Bracken_208_25_refseq	0.2558382215757269	Non-human
